sample_index,file_name,user_id,position_id,action_id,frames,duration_seconds,median_interval_seconds,p90_interval_seconds,max_interval_seconds,duplicate_timestamp_intervals,valid_frame_rate_hz,default_half_window,default_full_window_frames,default_window_median_span_seconds,default_window_p90_span_seconds,default_window_median_fraction_of_duration,default_window_frame_fraction,sample_not_longer_than_default_window
1,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122213_mimo5s_part0.csv,1,8,1,7,3.736618,0.28487399999999996,1.546805,2.523945,0,1.6057301013911511,5,11,3.736618,3.736618,1.0,1.0,1
2,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122236_mimo5s_part0.csv,1,8,1,12,3.918393,0.15436250000000018,0.8137397999999993,1.9558559999999998,1,2.8072732877993607,5,11,2.205752,3.5409842,0.5629226062827286,0.9166666666666666,0
3,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122225_mimo5s_part0.csv,1,8,1,11,5.443191,0.39172850000000015,1.1547808,1.2844239999999998,0,1.8371576525607867,5,11,4.999858,5.32684,0.9185527386417269,1.0,1
4,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122218_mimo5s_part0.csv,1,8,1,4,5.690974,0.677362,3.8870748000000006,4.689503,0,0.5271505369731087,5,11,5.690974,5.690974,1.0,1.0,1
5,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122247_mimo5s_part0.csv,1,8,1,8,4.98947,0.4667610000000002,1.9961345,2.913445,1,1.402954622434848,5,11,4.834588,4.98947,0.9689582260240066,1.0,1
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,11,5.139081,0.25667650000000003,1.2426201999999993,2.3931729999999996,0,1.9458732018428977,5,11,4.6082529999999995,5.124108,0.8967076020012137,1.0,1
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,12,5.3196699999999995,0.3117365000000002,1.1468786999999994,2.657634,1,2.0677974385629185,5,11,4.6498585,4.945552999999999,0.8740877723618194,0.9166666666666666,0
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,7,3.393373,0.5935265,1.0717845000000001,1.1609980000000002,0,1.7681522190457695,5,11,3.393373,3.393373,1.0,1.0,1
9,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122304_mimo5s_part0.csv,1,8,1,8,4.9874089999999995,0.4036959999999996,1.621100200000001,3.0175,0,1.4035343802764122,5,11,4.8253245,4.9874089999999995,0.9675012616771554,1.0,1
10,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122241_mimo5s_part0.csv,1,8,1,3,1.3911769999999999,0.6955884999999999,1.0436809,1.130704,0,1.437631588216309,5,11,1.3911769999999999,1.3911769999999999,1.0,1.0,1
11,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122230_mimo5s_part0.csv,1,8,1,8,3.434678,0.33493249999999986,1.3621125,1.652316,1,2.038036753372514,5,11,3.418984,3.434678,0.9954307215989389,1.0,1
12,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122155_mimo5s_part0.csv,1,8,1,11,3.865258,0.2733779999999999,0.7596589999999995,1.2854929999999998,0,2.587149421849719,5,11,2.850521,3.8627219999999998,0.7374723757120483,1.0,1
13,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122258_mimo5s_part0.csv,1,8,1,11,4.8580499999999995,0.39657050000000005,0.9271069999999999,1.3783309999999998,0,2.0584390856413584,5,11,3.7395629999999995,4.747953,0.7697662642418254,1.0,1
14,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122143_mimo5s_part0.csv,1,8,1,17,4.857156,0.07028749999999984,0.641228,2.291322,0,3.294108733588133,5,11,1.0966209999999998,3.8162103999999997,0.22577430084600944,0.6470588235294118,0
15,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120652_mimo5s_part0.csv,0,6,1,18,4.668934,0.03252500000000014,0.8925210000000001,1.9270669999999999,1,3.641088094198804,5,11,1.5438945000000002,3.1177862,0.33067387544994215,0.6111111111111112,0
16,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122252_mimo5s_part0.csv,1,8,1,14,5.241333,0.2693969999999999,1.2064658000000001,1.565334,0,2.4802850725187655,5,11,2.3863820000000002,3.7412871000000005,0.455300588609806,0.7857142857142857,0
17,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122149_mimo5s_part0.csv,1,8,1,17,4.989699,0.10761599999999993,0.6073505000000003,2.4040399999999997,0,3.2066062501966552,5,11,2.0856990000000004,4.1809968,0.41800096558930716,0.6470588235294118,0
18,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120634_mimo5s_part0.csv,0,6,1,4,3.953775,1.0495679999999998,1.8151904,2.006596,0,0.7587685186941594,5,11,3.953775,3.953775,1.0,1.0,1
19,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120709_mimo5s_part0.csv,0,6,1,4,3.4314489999999997,0.47228899999999996,2.4600274,2.956962,0,0.8742662356339844,5,11,3.4314489999999997,3.4314489999999997,1.0,1.0,1
