sample_index,file_name,user_id,position_id,action_id,half_window,full_window_frames,frames,duration_seconds,median_span_seconds,p25_span_seconds,p75_span_seconds,p90_span_seconds,max_span_seconds,median_fraction_of_sample_duration,nominal_frame_fraction_of_sample
1,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122213_mimo5s_part0.csv,1,8,1,1,3,7,3.736618,0.5696650000000001,0.11246999999999999,1.831679,2.7806800000000003,2.9495139999999997,0.15245470636816502,0.42857142857142855
1,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122213_mimo5s_part0.csv,1,8,1,2,5,7,3.736618,2.741384,0.6063365,3.3101865,3.5768506,3.663358,0.7336538013786799,0.7142857142857143
1,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122213_mimo5s_part0.csv,1,8,1,3,7,7,3.736618,3.519179,2.9541684999999998,3.6671085000000003,3.6971626,3.736618,0.9418086087472682,1.0
1,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122213_mimo5s_part0.csv,1,8,1,5,11,7,3.736618,3.736618,3.7037385,3.736618,3.736618,3.736618,1.0,1.0
2,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122236_mimo5s_part0.csv,1,8,1,1,3,12,3.918393,0.4281655,0.26658950000000037,0.7289734999999998,1.8458084000000001,1.9642979999999999,0.10927068826429609,0.25
2,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122236_mimo5s_part0.csv,1,8,1,2,5,12,3.918393,0.9955630000000002,0.5380812499999998,1.4653057499999997,2.0603415,2.377034,0.2540743105655814,0.4166666666666667
2,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122236_mimo5s_part0.csv,1,8,1,3,7,12,3.918393,1.4542920000000001,0.9955630000000002,2.14751825,2.4417736999999997,2.479235,0.371145007660028,0.5833333333333334
2,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122236_mimo5s_part0.csv,1,8,1,5,11,12,3.918393,2.205752,1.7708747500000002,2.92283,3.5409842,3.7782099999999996,0.5629226062827286,0.9166666666666666
3,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122225_mimo5s_part0.csv,1,8,1,1,3,11,5.443191,0.843763,0.2216665,1.5048785000000002,2.370348,2.4248,0.1550125652397647,0.2727272727272727
3,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122225_mimo5s_part0.csv,1,8,1,2,5,11,5.443191,1.464046,0.7379959999999999,3.1421409999999996,3.8343939999999996,3.970511,0.26896833126010095,0.45454545454545453
3,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122225_mimo5s_part0.csv,1,8,1,3,7,11,5.443191,2.7484699999999997,1.3789034999999998,4.0642875,4.814274,4.999858,0.5049372693333745,0.6363636363636364
3,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122225_mimo5s_part0.csv,1,8,1,5,11,11,5.443191,4.999858,3.336933,5.1773620000000005,5.32684,5.443191,0.9185527386417269,1.0
4,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122218_mimo5s_part0.csv,1,8,1,1,3,4,5.690974,2.8454870000000003,0.92044375,4.77053025,4.9163793,5.013612,0.5000000000000001,0.75
4,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122218_mimo5s_part0.csv,1,8,1,2,5,4,5.690974,5.3522929999999995,4.01057675,5.690974,5.690974,5.690974,0.9404880429958035,1.0
4,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122218_mimo5s_part0.csv,1,8,1,3,7,4,5.690974,5.690974,5.690974,5.690974,5.690974,5.690974,1.0,1.0
4,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122218_mimo5s_part0.csv,1,8,1,5,11,4,5.690974,5.690974,5.690974,5.690974,5.690974,5.690974,1.0,1.0
5,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122247_mimo5s_part0.csv,1,8,1,1,3,8,4.98947,0.493676,0.24824275000000018,2.00529775,3.2370921999999998,3.992269,0.09894357516930656,0.375
5,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122247_mimo5s_part0.csv,1,8,1,2,5,8,4.98947,1.1999339999999998,0.37344299999999997,4.1482085,4.616027,4.616027,0.24049327884524807,0.625
5,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122247_mimo5s_part0.csv,1,8,1,3,7,8,4.98947,3.346026,0.8412615,4.61848925,4.642024999999999,4.6797059999999995,0.6706175204981693,0.875
