sample_index,file_name,mapped_label,raw_label,repetition,official_split
0,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_01.npy,0,1,1,train
1,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_02.npy,0,1,2,train
2,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_03.npy,0,1,3,train
3,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_04.npy,0,1,4,train
4,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_05.npy,0,1,5,train
5,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_06.npy,0,1,6,train
6,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_07.npy,0,1,7,train
7,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_08.npy,0,1,8,train
8,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_09.npy,0,1,9,train
9,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_10.npy,0,1,10,train
10,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_11.npy,0,1,11,train
11,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_12.npy,0,1,12,train
12,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_13.npy,0,1,13,validation
13,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_14.npy,0,1,14,validation
14,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_15.npy,0,1,15,validation
15,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_16.npy,0,1,16,validation
16,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_17.npy,0,1,17,test
17,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_18.npy,0,1,18,test
18,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_19.npy,0,1,19,test
19,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_20.npy,0,1,20,test
20,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_01.npy,1,2,1,train
21,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_02.npy,1,2,2,train
22,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_03.npy,1,2,3,train
23,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_04.npy,1,2,4,train
24,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_05.npy,1,2,5,train
25,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_06.npy,1,2,6,train
26,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_07.npy,1,2,7,train
27,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_08.npy,1,2,8,train
28,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_09.npy,1,2,9,train
29,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_10.npy,1,2,10,train
30,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_11.npy,1,2,11,train
31,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_12.npy,1,2,12,train
32,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_13.npy,1,2,13,validation
33,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_14.npy,1,2,14,validation
34,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_15.npy,1,2,15,validation
35,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_16.npy,1,2,16,validation
36,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_17.npy,1,2,17,test
37,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_18.npy,1,2,18,test
38,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_19.npy,1,2,19,test
39,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_20.npy,1,2,20,test
40,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_01.npy,2,3,1,train
41,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_02.npy,2,3,2,train
42,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_03.npy,2,3,3,train
