dataset,denoise,outliers,normalize,interpolate,linear_test_acc,robust_test_acc,robust_minus_linear,linear_combo_id,robust_combo_id
widar,wavelet,iqr,z-score,linear15,0.706060606060606,0.6373737373737374,-0.06868686868686869,widar_001,widar_025
widar,wavelet,iqr,z-score,cubic15,0.7070707070707071,0.6353535353535353,-0.07171717171717173,widar_002,widar_026
widar,wavelet,iqr,z-score,nearest15,0.705050505050505,0.6292929292929293,-0.07575757575757569,widar_003,widar_027
widar,wavelet,iqr,z-score,decimate15,0.702020202020202,0.6585858585858586,-0.04343434343434338,widar_004,widar_028
widar,wavelet,iqr,min-max,linear15,0.694949494949495,0.5383838383838384,-0.15656565656565657,widar_005,widar_029
widar,wavelet,iqr,min-max,cubic15,0.6787878787878788,0.5454545454545454,-0.13333333333333341,widar_006,widar_030
widar,wavelet,iqr,min-max,nearest15,0.6626262626262627,0.5565656565656566,-0.10606060606060608,widar_007,widar_031
widar,wavelet,iqr,min-max,decimate15,0.6777777777777778,0.5191919191919192,-0.1585858585858586,widar_008,widar_032
widar,wavelet,outlier_z-score,z-score,linear15,0.692929292929293,0.6616161616161617,-0.03131313131313129,widar_033,widar_057
widar,wavelet,outlier_z-score,z-score,cubic15,0.702020202020202,0.6565656565656566,-0.045454545454545414,widar_034,widar_058
widar,wavelet,outlier_z-score,z-score,nearest15,0.7151515151515152,0.6343434343434343,-0.08080808080808088,widar_035,widar_059
widar,wavelet,outlier_z-score,z-score,decimate15,0.6868686868686869,0.6515151515151515,-0.03535353535353536,widar_036,widar_060
widar,wavelet,outlier_z-score,min-max,linear15,0.6868686868686869,0.5626262626262626,-0.12424242424242427,widar_037,widar_061
widar,wavelet,outlier_z-score,min-max,cubic15,0.6595959595959596,0.5434343434343434,-0.11616161616161624,widar_038,widar_062
widar,wavelet,outlier_z-score,min-max,nearest15,0.6646464646464646,0.5525252525252525,-0.11212121212121207,widar_039,widar_063
widar,wavelet,outlier_z-score,min-max,decimate15,0.6585858585858586,0.5434343434343434,-0.11515151515151523,widar_040,widar_064
widar,butterworth_o5_c0.3,iqr,z-score,linear15,0.7171717171717171,0.6121212121212121,-0.10505050505050506,widar_065,widar_089
widar,butterworth_o5_c0.3,iqr,z-score,cubic15,0.7272727272727273,0.6161616161616161,-0.11111111111111116,widar_066,widar_090
