variant,amplitude_max_abs_error,adjacent_phase_jump_early_mean_rad,adjacent_phase_jump_late_mean_rad,late_relative_rotation_mean_rad,late_relative_rotation_gt_pi_over_2,late_relative_rotation_gt_3pi_over_4,phase_channel_std,zscore_amplitude_channel_std,zscore_phase_to_amplitude_std_ratio,minmax_amplitude_channel_std,minmax_phase_to_amplitude_std_ratio,minmax_exact_zero_fraction,linear_cancellation_ratio_mean,linear_cancellation_ratio_p10,linear_cancellation_ratio_lt_0_5,linear_late_minus_early_ratio,cubic_cancellation_ratio_mean,cubic_cancellation_ratio_p10,cubic_cancellation_ratio_lt_0_5,cubic_late_minus_early_ratio,sample_index,length
no_calibration,3.814697265625e-06,0.8643364310264587,0.8644712567329407,0.0005626252968795598,0.0,0.0,1.8174911737442017,1.0,1.8174911737442017,0.1626611883372341,11.173477781166358,0.00035704583381844995,0.9453214127347149,0.9093986642157423,0.0,0.0004149116886321691,0.9955770473338683,0.97159130547694,0.0,0.0004670447435499714,0,2863
linear_reference,1.1444091796875e-05,0.13824620842933655,0.13312996923923492,0.8283373713493347,0.0,0.0,0.3864492177963257,1.0,0.3864492177963257,0.16266118515057473,2.3757924635713885,0.00035704583381844995,0.9989335440377601,0.9970897459396499,0.0,0.0001677128541399675,1.0013094778497078,0.9988453569304745,0.0,7.12860002363147e-05,0,2863
common_only,0.0,0.8643354773521423,0.8644464612007141,0.0,0.0,0.0,1.805431604385376,1.0,1.805431604385376,0.1626611904158898,11.099338445570663,0.00034928396786587494,0.9453229783895788,0.9094132158606825,0.0,0.0004191996112770102,0.995573807033782,0.9716056976832493,0.0,0.0004606931334002473,0,2863
detrend_first50_only,1.1444091796875e-05,1.5501673221588135,1.5760633945465088,1.567386269569397,0.5001366449642312,0.2452535969777349,1.812483310699463,0.9999999999999997,1.8124833106994636,0.1626611853864276,11.142690903140904,0.00034928396786587494,0.7993963717760731,0.4412089526639594,0.12876159428726666,0.002008882230177811,0.9096690110216813,0.5519818528292714,0.07924865137579074,0.0053012699172650946,0,2863
detrend_fullspan50_only,7.62939453125e-06,1.5808509588241577,1.5780760049819946,1.575435757637024,0.5019532191945985,0.25255204565549394,1.8099534511566162,1.0000000000000004,1.8099534511566153,0.16266118997470094,11.127137649971221,0.00034928396786587494,0.8013527941434823,0.4412913655233367,0.12858307137035743,-0.0029397026194919462,0.9088964465905711,0.5549609922968848,0.07921760391198043,-0.0042146242524353505,0,2863
robust_shared_first50,7.62939453125e-06,0.8643354773521423,0.8644464612007141,3.166260142961619e-08,0.0,0.0,1.8131548166275024,1.0,1.8131548166275024,0.1626611863527595,11.146819086240747,0.00034928396786587494,0.9453229783367815,0.9094131929014904,0.0,0.00041919978265037017,0.9955738069807546,0.9716056653712691,0.0,0.0004606931017171467,0,2863
robust_window_limited,7.62939453125e-06,1.4795997142791748,1.4859751462936401,1.4400259256362915,0.4827586206896552,0.20689655172413793,1.8146017789840698,0.9999999999999998,1.8146017789840703,0.1626611907632062,11.155714343845384,0.00034928396786587494,0.7872264337773376,0.3939977871152486,0.1900337641168937,-0.003350864028789924,0.8812922468224622,0.4810094402952437,0.10907750223153646,-0.004930824728081484,0,2863
robust_fullspan50,7.62939453125e-06,1.5654561519622803,1.567978858947754,1.564420461654663,0.49825576722128445,0.24702194357366772,1.8123726844787598,1.0,1.8123726844787598,0.16266118840600619,11.142010594162356,0.00035704583381844995,0.8024353461662777,0.44364144108732834,0.12735669654985057,-0.0015917962605555003,0.9109904551566095,0.5659113780690871,0.07548414638879186,-0.002526050667472024,0,2863
robust_first50,7.62939453125e-06,1.52968168258667,1.5469547510147095,1.5616804361343384,0.49475122578570857,0.24989952576159472,1.8118677139282227,1.0000000000000002,1.8118677139282222,0.1626611903126989,11.138906031888116,0.00035704583381844995,0.8100592711673287,0.4514720796430455,0.12214072262972019,0.004836506738238211,0.9174299518529955,0.5644042313457608,0.07608957193309271,0.007173121676380401,0,2863
no_calibration,3.814697265625e-06,0.8344612717628479,0.8283182382583618,0.0002495541120879352,0.0,0.0,1.8121540546417236,1.0000000000000002,1.8121540546417232,0.15643529969930234,11.584048217537985,0.00046173865592074887,0.9491341868926851,0.915287921608075,0.0,0.000745207147755278,0.9958057348546874,0.9775831466817428,0.0,0.00014312973676655627,1,2647
