variant,amplitude_max_abs_error,adjacent_phase_jump_early_mean_rad,adjacent_phase_jump_late_mean_rad,late_relative_rotation_mean_rad,late_relative_rotation_gt_pi_over_2,late_relative_rotation_gt_3pi_over_4,phase_channel_std,zscore_amplitude_channel_std,zscore_phase_to_amplitude_std_ratio,minmax_amplitude_channel_std,minmax_phase_to_amplitude_std_ratio,minmax_exact_zero_fraction,linear_cancellation_ratio_mean,linear_cancellation_ratio_p10,linear_cancellation_ratio_lt_0_5,linear_late_minus_early_ratio,cubic_cancellation_ratio_mean,cubic_cancellation_ratio_p10,cubic_cancellation_ratio_lt_0_5,cubic_late_minus_early_ratio,sample_index,length
no_calibration,3.814697265625e-06,0.873925507068634,0.8818650245666504,0.00010165460116695613,0.0,0.0,1.813210129737854,1.0000000000000004,1.8132101297378531,0.1906948344118377,9.508438628295092,0.0019139455036890935,0.9443627454601238,0.9112795991251991,0.0,-0.0011129920749806121,0.9954440283185796,0.9687003731158078,0.0,-2.302600100045904e-05,0,1521
linear_reference,7.62939453125e-06,0.12940262258052826,0.12493470311164856,0.8484823107719421,0.0,0.0,0.3551262617111206,0.9999999999999996,0.35512626171112077,0.190694838309287,1.8622751662273267,0.0008181751771495361,0.9990961108556266,0.9977754428179397,0.0,0.00012673879286928535,1.001154589302752,0.9991569806311044,0.0,7.482440057438033e-05,0,1521
common_only,0.0,0.8739256262779236,0.8818821310997009,0.0,0.0,0.0,1.8028860092163086,1.0,1.8028860092163086,0.19069483302066062,9.454299210199245,0.0009058368032727007,0.9443614210089659,0.9112719471540375,0.0,-0.0011159967685071548,0.9954432805878891,0.9686992201295951,0.0,-2.437538983768306e-05,0,1521
detrend_first50_only,7.62939453125e-06,1.1872031688690186,1.6587830781936646,1.5187242031097412,0.4865093768905021,0.2161222020568663,1.810537576675415,0.9999999999999996,1.810537576675416,0.19069483528356782,9.494423768651636,0.0009058368032727007,0.8102199020747788,0.46272221491325954,0.11594711081890569,-0.11078094732263732,0.9282143052096136,0.6062624055429837,0.06199137994009789,-0.06633783687962769,0,1521
detrend_fullspan50_only,7.62939453125e-06,1.3795428276062012,1.4947413206100464,1.5084894895553589,0.4780399274047187,0.21660617059891107,1.8134312629699707,1.0,1.8134312629699707,0.19069483031150958,9.509598451135984,0.0009350573453137556,0.8117853519316732,0.4626428461362507,0.11581561837972094,-0.04815298954232983,0.9067977770450876,0.5560465292354708,0.08002045437942874,-0.03196751320276636,0,1521
robust_shared_first50,7.62939453125e-06,0.8739256262779236,0.8818821310997009,3.1571442349331846e-08,0.0,0.0,1.812345266342163,1.0,1.812345266342163,0.19069483334915474,9.503903354443956,0.0009642778873548104,0.9443614209382581,0.9112719128072936,0.0,-0.0011159969577804185,0.9954432805644966,0.968699220361354,0.0,-2.437557655454725e-05,0,1521
robust_window_limited,7.62939453125e-06,1.0047354698181152,1.0071382522583008,0.414281964302063,0.09195402298850575,0.022988505747126436,1.8248448371887207,1.0,1.8248448371887207,0.19069482758204806,9.569451150443847,0.0010081087004163928,0.9157585424925614,0.8685990171919673,0.030623128059025496,-0.002429291454119631,0.9689820387689577,0.9145178027859374,0.028285484695741107,-0.0021680441300749864,0,1521
robust_fullspan50,7.62939453125e-06,1.337735891342163,1.5789376497268677,1.555961012840271,0.5015728977616455,0.24673321234119783,1.787809133529663,0.9999999999999994,1.787809133529664,0.19069483840722004,9.375236102153321,0.0009788881583753378,0.8005094069615905,0.4439699200453322,0.1269778654394039,-0.03392585577896279,0.8997559564620692,0.5383532080351752,0.0838337351157864,-0.007230459872132888,0,1521
robust_first50,7.62939453125e-06,1.0999600887298584,1.6579614877700806,1.5324221849441528,0.48617664851784637,0.21591046581972173,1.8125358819961548,1.0,1.8125358819961548,0.19069483006277885,9.504903103033511,0.000949667616334283,0.8501023059165569,0.6093801127941576,0.06549784498502448,-0.10044267092125991,0.9571872972169287,0.7155923234048805,0.04565709693914822,-0.04931120891230911,0,1521
no_calibration,3.814697265625e-06,0.7979426980018616,0.8053208589553833,0.000142169781611301,0.0,0.0,1.8128137588500977,0.9999999999999999,1.8128137588500979,0.17857241295899715,10.151701087593784,0.0006555227794165847,0.9530006671419379,0.9260101673062068,0.0,-0.0009215767089443272,0.9962430205344737,0.976858970893308,0.0,-3.7726420208938904e-05,1,2034
