contrast_order,dataset,factor,label,comparison,reference,n_pairs,mean_difference_pp,median_difference_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,min_difference_pp,max_difference_pp
0,ElderAL,denoise,去噪 | Wavelet − Savitzky–Golay,wavelet,savgol_w7_p3,16,-4.02777777777778,-3.888888888888893,-6.782986111111117,-1.4351851851851851,-17.037037037037038,6.2962962962962905
0,Widar,denoise,去噪 | Wavelet − Savitzky–Golay,wavelet,savgol_w7_p3,64,-2.7761994949494953,-3.5353535353535364,-3.532196969696969,-1.9807449494949503,-7.474747474747488,6.969696969696969
0,XRF55,denoise,去噪 | Wavelet − Savitzky–Golay,wavelet,savgol_w7_p3,16,0.0662878787878789,-0.37878787878787534,-0.520833333333333,0.6723484848484871,-1.8181818181818272,2.4242424242424363
1,ElderAL,denoise,去噪 | Butterworth − Savitzky–Golay,butterworth_o5_c0.3,savgol_w7_p3,16,-1.7361111111111152,-2.7777777777777857,-3.241319444444452,-0.09259259259259522,-5.925925925925924,4.444444444444443
1,Widar,denoise,去噪 | Butterworth − Savitzky–Golay,butterworth_o5_c0.3,savgol_w7_p3,64,-0.6029040404040409,-0.55555555555555,-1.084280303030304,-0.123106060606061,-4.444444444444457,3.73737373737373
1,XRF55,denoise,去噪 | Butterworth − Savitzky–Golay,butterworth_o5_c0.3,savgol_w7_p3,16,-0.25568181818181657,-0.6060606060606091,-0.9280303030303036,0.4734848484848495,-2.1212121212121247,3.030303030303031
2,ElderAL,denoise,去噪 | Bandpass − Savitzky–Golay,bandpass_0.5-50,savgol_w7_p3,16,-3.472222222222223,-2.2222222222222214,-6.342592592592596,-0.5787037037037077,-12.962962962962976,6.2962962962962905
2,Widar,denoise,去噪 | Bandpass − Savitzky–Golay,bandpass_0.5-50,savgol_w7_p3,64,-2.0265151515151514,-3.131313131313128,-2.949810606060605,-1.0574494949494944,-7.575757575757578,7.373737373737363
2,XRF55,denoise,去噪 | Bandpass − Savitzky–Golay,bandpass_0.5-50,savgol_w7_p3,16,-43.61742424242424,-42.72727272727272,-44.55492424242425,-42.68939393939394,-47.121212121212125,-40.454545454545446
3,ElderAL,denoise,去噪 | Hampel − Savitzky–Golay,hampel_w5_s3,savgol_w7_p3,16,-21.481481481481485,-22.777777777777786,-24.351851851851862,-18.287037037037035,-31.481481481481502,-6.666666666666671
3,Widar,denoise,去噪 | Hampel − Savitzky–Golay,hampel_w5_s3,savgol_w7_p3,64,-4.696969696969696,-5.656565656565661,-5.733901515151514,-3.6268150252525255,-11.81818181818182,4.54545454545454
3,XRF55,denoise,去噪 | Hampel − Savitzky–Golay,hampel_w5_s3,savgol_w7_p3,16,-0.994318181818179,-0.9848484848484773,-1.742424242424236,-0.21780303030302847,-3.4848484848484844,1.9696969696969688
4,ElderAL,outliers,异常值 | Z-score − IQR,outlier_z-score,iqr,40,1.9444444444444429,2.5925925925925988,0.03703703703703752,3.870370370370369,-11.481481481481467,14.074074074074062
4,Widar,outliers,异常值 | Z-score − IQR,outlier_z-score,iqr,160,0.016414141414141346,-0.10101010101010033,-0.23360164141414227,0.2645202020202016,-3.4343434343434325,5.656565656565661
4,XRF55,outliers,异常值 | Z-score − IQR,outlier_z-score,iqr,40,0.17803030303030293,0.303030303030301,-0.26136363636363347,0.598484848484849,-3.6363636363636402,2.5757575757575637
5,Widar,calibrate,相位 | Polynomial − Linear,polynomial_d3,linear,80,-0.6073232323232312,-0.5050505050504981,-1.0050505050505039,-0.21461489898989744,-5.555555555555557,3.737373737373744
6,Widar,calibrate,相位 | STC − Linear,stc,linear,80,-0.3825757575757584,-0.30303030303030454,-0.6704861111111128,-0.09595959595959787,-4.74747474747474,3.030303030303031
7,Widar,calibrate,相位 | Robust − Linear,robust,linear,80,-10.48989898989899,-10.404040404040405,-11.5,-9.520170454545456,-21.919191919191917,-1.212121212121204
8,ElderAL,normalize,归一化 | Min–max − Z-score,min-max,z-score,40,4.333333333333334,3.8888888888888857,2.434953703703703,6.222222222222224,-7.777777777777786,15.18518518518519
8,Widar,normalize,归一化 | Min–max − Z-score,min-max,z-score,160,-4.6856060606060606,-4.242424242424242,-5.138273358585859,-4.237373737373737,-13.939393939393938,0.8080808080808168
8,XRF55,normalize,归一化 | Min–max − Z-score,min-max,z-score,40,0.2840909090909095,0.30303030303031164,-0.13257575757575946,0.6893939393939382,-4.0909090909090935,2.7272727272727195
9,ElderAL,interpolate_method,插值 | Cubic − Linear,cubic,linear,20,-1.0925925925925921,-1.2962962962962976,-2.3703703703703676,0.24074074074073873,-7.037037037037052,5.925925925925924
9,Widar,interpolate_method,插值 | Cubic − Linear,cubic,linear,80,-0.10101010101010255,7.105427357601002e-15,-0.34977904040404184,0.15407196969696746,-3.5353535353535364,2.7272727272727195
9,XRF55,interpolate_method,插值 | Cubic − Linear,cubic,linear,20,0.022727272727274084,0.30303030303029743,-0.6136363636363622,0.6592803030303033,-2.575757575757571,2.7272727272727266
10,ElderAL,interpolate_method,插值 | Nearest − Linear,nearest,linear,20,-1.0370370370370363,-1.2962962962962976,-2.611111111111109,0.33333333333333426,-10.740740740740748,3.7037037037037095
10,Widar,interpolate_method,插值 | Nearest − Linear,nearest,linear,80,0.046717171717171976,0.15151515151514872,-0.3055555555555552,0.4078282828282827,-4.343434343434339,3.8383838383838267
10,XRF55,interpolate_method,插值 | Nearest − Linear,nearest,linear,20,-0.3257575757575754,-0.37878787878788245,-1.0227272727272747,0.36363636363636265,-3.3333333333333286,2.424242424242422
11,ElderAL,interpolate_method,插值 | Decimate − Linear,decimate,linear,20,1.499999999999999,-0.5555555555555571,-0.8523148148148172,4.037037037037036,-6.296296296296276,13.70370370370371
11,Widar,interpolate_method,插值 | Decimate − Linear,decimate,linear,80,-0.4255050505050515,-0.6060606060606091,-0.7992424242424252,-0.034059343434344885,-3.5353535353535364,4.74747474747474
11,XRF55,interpolate_method,插值 | Decimate − Linear,decimate,linear,20,0.34090909090909066,0.0,-0.2651515151515184,1.0757575757575792,-1.8181818181818272,5.45454545454546
